Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Development,DevelopmentScore,DevelopmentScore2,Match,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,,Oxygen,PC1,PC2
Ariopsis_felis,Ariopsis,Ariidae,M,B,NA,greenish,Green,Green,Grey,Demersal,1,0,No,NA,NA,NA,24.8141947,213.9726017,0.20851891,-87.10717485,27.45461376,27.45461376,2,18.13251154,-0.013092482,,211.5282019,20.72083812,0.518038638
Neoarius_graeffei,Neoarius,Ariidae,M,B,F,transparent,Transparent,None,Blue-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,213.9726017,18.13251154,-0.013092482
Sciades_herzbergii,Sciades,Ariidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,27.6508827,205.1082499,0.2768262,-49.55081273,0.569173146,0.569173146,2,27.36976741,1.125606577,,205.1082499,27.36976741,1.125606577
Atherinops_affinis,Atherinops,Atherinopsidae,M,B,NA,yellow,Yellow-Orange-Amber,Carotenoid,Grey*,Demersal,1,0,No,NA,NA,NA,13.01784633,272.7853298,0.912138797,-126.3749548,46.90905394,46.90905394,0,-41.84802034,-0.666251511,,272.7853298,-41.84802034,-0.666251511
Belone_belone,Belone,Belonidae,M,B,NA,transparent,Transparent,None,Blue-Green-Grey,Demersal,1,0,No,NA,NA,NA,16.04575432,260.8845138,0.312515178,10.01561517,47.99891828,47.99891828,0,-29.59170895,0.095640338,,239.2206775,-7.806269213,-1.29401675
Harengula_jaguana,Harengula,Clupeidae,M,B,NA,clear,Transparent,None,Black-Grey,NA,NA,NA,No,NA,NA,NA,26.37889908,208.040424,0.20519133,-71.28651213,13.79480069,13.79480069,0,24.25219301,0.421108798,,260.8845138,-29.59170895,0.095640338
Carassius_carassius,Carassius,Cyprinidae,NA,B,F,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,208.040424,24.25219301,0.421108798
Scardinius_erythrophthalmus,Scardinius,Cyprinidae,NA,B,F,transparent,Transparent,None,Grey-Orange,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,303.7212971,-73.13266134,0.393456762
Remora_osteochir,Remora,Echeneidae,M,NA,NA,transparent,Transparent,None,Grey,Pelagic,2,2,No,NA,NA,NA,25.12153145,212.432571,0.135254399,-32.37706394,81.19114199,81.19114199,0,19.70283247,0.002483294,,212.432571,19.70283247,0.002483294
Anchoa_mitchilli,Anchoa,Engraulidae,M,B,F,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,1,70,35.5,23.53622905,229.8518049,0.397855995,-87.60953167,31.84917634,31.84917634,0,2.292651163,1.68429191,,229.8518049,2.292651163,1.68429191
